Jurisdiction,Excess (CDC reference),Excess,Difference Percent,Excess Under 25,Excess 25-44,Excess 45-64,Excess 65-74,Excess 75-84,Excess 85+,Pop Under 25,Pop 25-44,Pop 45-64,Pop 65-74,Pop 75-84,Pop 85+
United States,1106938,1099508,-0.6712209717256057,13674,91022,263652,260632,271291,199236,102411805,87518831,82707201,32549398,16451547,6658420
California,111334,109354,-1.778432464476265,1841,11922,29385,23391,23562,19252,12328171,11238995,9668677,3469545,1750249,756372
Texas,110220,108091,-1.9315913627290904,1374,10137,28261,26544,24827,16948,10226987,8275739,6870014,2339912,1119841,413930
Florida,79137,81105,2.486826642404938,796,5778,17368,17495,21576,18091,5972197,5424371,5631726,2539576,1502209,596309
New York,73788,74780,1.3443920420664668,619,5112,16761,16902,18879,16507,5700830,5254521,4986916,1912722,996328,460519
Georgia,42086,41319,-1.8224587748895127,448,3782,10611,9345,10482,6652,3492429,2868404,2711662,959264,459814,155589
Pennsylvania,41263,43935,6.475534982914466,331,1581,8690,11885,11914,9534,3742467,3236401,3350321,1401258,717789,328640
Ohio,41130,41912,1.9012885971310567,289,2462,9226,11000,10617,8318,3614909,2965880,3006030,1233236,608792,255610
Illinois,38324,38650,0.8506418954180139,691,2288,8942,9672,9406,7652,3900739,3366918,3203140,1211741,610637,266856
Michigan,37683,36613,-2.839476687100284,356,2360,8726,9542,9657,5972,3054226,2486191,2609988,1074762,525966,211713
Arizona,35544,35817,0.7680621201890725,307,3288,8773,8936,8858,5655,2340793,1933226,1753780,786905,434972,152098
Tennessee,30718,30549,-0.550166026434018,253,3481,7832,7669,6768,4546,2117862,1804925,1763153,704870,351752,123921
North Carolina,29264,28044,-4.168944778567518,668,3150,7398,6575,6454,3801,3257147,2703913,2727736,1084482,535819,194241
New Jersey,29023,29538,1.7744547427902102,109,606,7028,7127,8549,6119,2676875,2289702,2396442,859409,449250,201369
Alabama,24109,24380,1.1240615537766008,251,1998,7056,5478,5670,3928,1531001,1238207,1263987,517717,263668,92859
Virginia,23943,24980,4.331119742722289,485,2341,5584,5638,6159,4772,2633645,2248364,2192264,827566,416842,156636
Indiana,23754,23833,0.3325755662204166,391,1778,5316,5932,6138,4277,2222282,1730610,1683936,658882,325212,131191
